,Date,positiv,neutral,negativ
0,2017-03-06,1,0.0,0.0
1,2017-03-10,1,0.0,1.0
2,2017-03-13,1,0.0,0.0
3,2017-03-14,1,0.0,1.0
4,2017-03-16,1,0.0,0.0
5,2017-03-17,1,0.0,0.0
6,2017-03-28,1,0.0,0.0
7,2017-03-30,1,0.0,0.0
8,2017-04-06,1,0.0,0.0
9,2017-04-07,2,0.0,0.0
10,2017-04-25,1,0.0,0.0
11,2017-04-26,2,1.0,0.0
12,2017-04-28,3,4.0,1.0
13,2017-05-01,1,0.0,0.0
14,2017-05-10,2,0.0,0.0
15,2017-05-15,1,0.0,0.0
16,2017-05-22,2,1.0,1.0
17,2017-05-23,1,0.0,1.0
18,2017-05-25,1,0.0,1.0
19,2017-05-26,1,0.0,0.0
20,2017-06-07,1,2.0,0.0
21,2017-06-08,1,0.0,0.0
22,2017-06-16,1,0.0,0.0
23,2017-06-19,1,0.0,1.0
24,2017-06-23,1,0.0,0.0
25,2017-06-26,1,0.0,1.0
26,2017-06-27,2,0.0,0.0
27,2017-06-29,1,0.0,0.0
28,2017-06-30,1,0.0,0.0
29,2017-07-03,1,1.0,0.0
30,2017-07-05,1,0.0,0.0
31,2017-07-07,3,1.0,0.0
32,2017-07-19,2,0.0,0.0
33,2017-07-24,1,1.0,0.0
34,2017-07-28,2,1.0,1.0
35,2017-07-31,2,0.0,0.0
36,2017-08-01,1,0.0,0.0
37,2017-08-04,1,1.0,0.0
38,2017-08-07,3,0.0,0.0
39,2017-08-08,1,0.0,0.0
40,2017-08-14,1,0.0,0.0
41,2017-08-17,1,0.0,0.0
42,2017-08-28,2,0.0,0.0
43,2017-08-29,1,1.0,0.0
44,2017-08-30,1,0.0,0.0
45,2017-09-01,2,1.0,0.0
46,2017-09-22,1,1.0,0.0
47,2017-09-25,1,0.0,2.0
48,2017-09-28,1,0.0,0.0
49,2017-10-03,2,0.0,1.0
50,2017-10-04,1,0.0,0.0
51,2017-10-09,2,0.0,0.0
52,2017-10-13,1,0.0,0.0
53,2017-10-16,3,0.0,0.0
54,2017-10-17,1,0.0,1.0
55,2017-10-18,1,1.0,0.0
56,2017-10-20,1,1.0,0.0
57,2017-10-23,1,0.0,0.0
58,2017-10-27,1,2.0,1.0
59,2017-10-30,1,1.0,2.0
60,2017-10-31,2,0.0,0.0
61,2017-11-10,2,0.0,1.0
62,2017-11-13,1,0.0,0.0
63,2017-11-14,1,0.0,0.0
64,2017-11-15,1,0.0,0.0
65,2017-11-17,2,0.0,0.0
66,2017-11-20,2,0.0,1.0
67,2017-11-24,1,0.0,0.0
68,2017-11-29,1,0.0,0.0
69,2017-12-01,2,0.0,1.0
70,2017-12-04,1,0.0,0.0
71,2017-12-05,1,0.0,0.0
72,2017-12-08,3,0.0,1.0
73,2017-12-12,1,1.0,0.0
74,2017-12-13,1,1.0,0.0
75,2017-12-20,2,0.0,0.0
76,2018-01-02,2,0.0,0.0
77,2018-01-04,1,0.0,0.0
78,2018-01-05,2,0.0,0.0
79,2018-01-10,1,0.0,0.0
80,2018-01-16,1,0.0,0.0
81,2018-01-17,1,0.0,0.0
82,2018-01-19,1,0.0,0.0
83,2018-01-22,1,2.0,0.0
84,2018-01-23,1,0.0,0.0
85,2018-01-26,2,2.0,0.0
86,2018-01-29,1,0.0,0.0
87,2018-01-30,1,0.0,0.0
88,2018-02-02,1,0.0,0.0
89,2018-02-08,1,0.0,0.0
90,2018-02-13,1,0.0,0.0
91,2018-02-16,1,0.0,0.0
92,2018-02-23,1,1.0,0.0
93,2018-02-27,1,0.0,2.0
94,2018-03-06,1,0.0,1.0
95,2018-03-07,1,0.0,1.0
96,2018-03-08,2,0.0,0.0
97,2018-03-13,1,0.0,0.0
98,2018-03-21,1,0.0,0.0
99,2018-03-22,3,0.0,0.0
100,2018-03-23,1,0.0,1.0
101,2018-03-26,1,0.0,0.0
102,2018-04-09,1,0.0,0.0
103,2018-04-13,1,1.0,0.0
104,2018-04-17,1,0.0,0.0
105,2018-04-18,1,0.0,0.0
106,2018-04-20,1,0.0,0.0
107,2018-04-24,1,0.0,1.0
108,2018-04-27,1,1.0,1.0
109,2018-04-30,3,1.0,0.0
110,2018-05-02,1,0.0,0.0
111,2018-05-03,1,0.0,0.0
112,2018-05-09,1,0.0,1.0
113,2018-05-10,1,1.0,0.0
114,2018-05-11,1,0.0,2.0
115,2018-05-14,1,0.0,1.0
116,2018-05-18,1,0.0,0.0
117,2018-05-22,1,0.0,0.0
118,2018-06-05,1,0.0,0.0
119,2018-06-11,1,0.0,1.0
120,2018-06-12,1,1.0,0.0
121,2018-06-18,1,1.0,0.0
122,2018-06-19,2,0.0,2.0
123,2018-07-03,1,1.0,1.0
124,2018-07-06,2,1.0,0.0
125,2018-07-09,2,1.0,0.0
126,2018-07-11,2,1.0,0.0
127,2018-07-12,1,0.0,0.0
128,2018-07-13,1,0.0,2.0
129,2018-07-23,2,0.0,0.0
130,2018-07-24,1,0.0,1.0
131,2018-07-25,1,0.0,1.0
132,2018-07-26,1,1.0,0.0
133,2018-07-30,1,0.0,0.0
134,2018-08-02,2,0.0,0.0
135,2018-08-06,2,0.0,0.0
136,2018-08-07,1,0.0,0.0
137,2018-08-10,2,0.0,0.0
138,2018-08-15,1,0.0,0.0
139,2018-08-22,1,0.0,0.0
140,2018-08-31,2,0.0,0.0
141,2018-09-07,2,1.0,0.0
142,2018-09-11,1,1.0,1.0
143,2018-09-14,1,0.0,0.0
144,2018-09-19,1,0.0,0.0
145,2018-09-28,1,0.0,0.0
146,2018-10-01,1,1.0,0.0
147,2018-10-02,1,0.0,0.0
148,2018-10-04,2,0.0,0.0
149,2018-10-09,1,0.0,0.0
150,2018-10-10,1,0.0,0.0
151,2018-10-12,1,0.0,0.0
152,2018-10-17,1,1.0,0.0
153,2018-10-19,1,0.0,0.0
154,2018-10-23,1,1.0,0.0
155,2018-10-25,1,1.0,0.0
156,2018-10-26,2,0.0,0.0
157,2018-11-01,1,1.0,0.0
158,2018-11-06,2,0.0,0.0
159,2018-11-13,1,0.0,1.0
160,2018-11-16,1,1.0,0.0
161,2018-11-23,2,1.0,1.0
162,2018-11-26,1,0.0,0.0
163,2018-11-28,1,0.0,0.0
164,2018-11-30,3,0.0,1.0
165,2018-12-03,1,0.0,0.0
166,2018-12-10,1,1.0,1.0
167,2018-12-18,2,1.0,0.0
168,2018-12-27,1,0.0,0.0
169,2019-01-02,1,0.0,1.0
170,2019-01-04,1,0.0,1.0
171,2019-01-08,1,0.0,0.0
172,2019-01-11,1,0.0,0.0
173,2019-01-14,1,0.0,1.0
174,2019-01-16,1,0.0,0.0
175,2019-01-17,1,0.0,0.0
176,2019-01-18,2,0.0,0.0
177,2019-01-22,1,1.0,0.0
178,2019-01-25,2,1.0,0.0
179,2019-01-28,2,0.0,1.0
180,2019-01-29,1,0.0,1.0
181,2019-02-01,2,0.0,0.0
182,2019-02-04,1,0.0,0.0
183,2019-02-06,2,0.0,0.0
184,2019-02-07,1,0.0,0.0
185,2019-02-13,1,1.0,0.0
186,2019-02-15,1,0.0,0.0
187,2019-02-19,1,0.0,0.0
188,2019-03-04,1,0.0,0.0
189,2019-03-20,1,0.0,0.0
190,2019-03-22,1,0.0,0.0
191,2019-03-29,1,0.0,0.0
192,2019-04-08,2,0.0,0.0
193,2019-04-12,2,0.0,0.0
194,2019-04-17,2,0.0,0.0
195,2019-04-18,1,0.0,0.0
196,2019-04-23,1,0.0,0.0
197,2019-04-24,1,0.0,0.0
198,2019-04-26,1,0.0,1.0
199,2019-05-01,2,0.0,0.0
200,2019-05-02,1,0.0,0.0
201,2019-05-07,1,0.0,0.0
202,2019-05-10,1,0.0,0.0
203,2019-05-16,1,0.0,0.0
204,2019-05-17,1,0.0,0.0
205,2019-05-20,2,0.0,0.0
206,2019-05-21,1,0.0,0.0
207,2019-05-22,1,0.0,0.0
