,Headline,Date
0,                                                           Pfizer Inc. stock outperforms market on strong trading day                          ,2021-12-09 17:16:00
1,                                                           ‘The Days You Were Considered Fully Vaccinated With Two Shots Are Going to Be a Thing of the Past’                          ,2021-12-09 15:39:00
2,"                                                           U.S. oil prices settle lower, ending a 3-session streak of gains                          ",2021-12-09 15:07:00
3,                                                           FDA Authorizes Vaccine Boosters for 16- and 17-Year-Olds                          ,2021-12-09 14:54:00
4,"                                                           FDA authorizes BioNTech, Pfizer's COVID-19 booster for 16- and 17-year-olds                          ",2021-12-09 11:40:36
5,"                                                           Omicron cases have been ‘mild,’ says CDC director, though majority so far are in the vaccinated                          ",2021-12-09 10:18:00
6,                                                           ‘The days you were considered fully vaccinated with two shots are going to be a thing of the past’                          ,2021-12-09 09:34:00
7,"                                                           Omicron Variant Is Four Times More Transmissible Than Delta, Japan Study Finds                          ",2021-12-09 08:08:00
8,                                                           Novartis CEO Vasant Narasimhan Sees Consistent Growth While Sitting on Cash                          ,2021-12-09 08:08:00
9,"                                                           Early data indicates that boosters, at least for BioNTech and Pfizer’s COVID-19 vaccine, further protect against omicron                          ",2021-12-09 07:34:00
10,                                                           Uncovering these ‘hidden stories’ has led this fund manager to stock gains that beat the S&P 500. Here are his picks                          ,2021-12-09 07:22:00
11,                                                           Inflation Data Lie in Wait as the Stock Market’s Next Nemesis                          ,2021-12-09 06:42:00
12,                                                           Japan study confirms omicron variant's high transmissibility: report                          ,2021-12-09 02:48:42
13,                                                           South Korean Travel Stocks Rally as Omicron Fears Ease                          ,2021-12-08 22:28:00
14,"                                                           Pfizer Inc. stock falls Wednesday, underperforms market                          ",2021-12-08 17:16:00
15,                                                           Stocks Gain as Pfizer Data Ease Omicron Fears                          ,2021-12-08 16:28:00
16,                                                           Long-dated Treasury yields post biggest three-day rise in weeks after Pfizer/BioNTech omicron report                          ,2021-12-08 15:51:00
17,                                                           U.S. oil prices settle at 2-week high as omicron fears ease                          ,2021-12-08 15:05:00
18,"                                                           It’s a Third Dose Against Omicron, Not a Booster, BioNTech CEO Says                          ",2021-12-08 13:39:00
19,                                                           Pfizer Says 3 Doses of Its Covid-19 Vaccine Neutralizes Omicron Variant                          ,2021-12-08 08:47:00
60,"                                                           Gold futures inch higher, but finish below highest intraday level in past week                          ",2021-12-08 13:57:00
61,                                                           A 10-year Treasury yield at or above 2% has been elusive. Here are the banks making it their 2022 call.                          ,2021-12-08 13:02:00
62,"                                                           Dow, S& P 500 fight to bring string of gains to three as investors assess vaccine efficacy against omicron                          ",2021-12-08 09:39:47
63,"                                                           Pfizer, BioNTech say initial lab study showed 3 doses of COVID-19 vaccine neutralized omicron variant                          ",2021-12-08 07:15:23
64,                                                           Dow futures pick up steam early Wednesday as Pfizer/BioNTech release preliminary lab study on omicron variant                           ,2021-12-08 07:12:45
65,"Pfizer, BioNTech said initial lab study showed that their COVID-19 vaccine can neutralize the omicron variant after 3 doses",2021-12-08 06:59:00
66,"                                                           A Year After First Covid-19 Vaccine, It’s Crunchtime for Moderna and Pfizer                          ",2021-12-08 06:43:00
67,                                                           Early lab tests show omicron may lessen effectiveness of vaccine                          ,2021-12-07 20:16:00
68,                                                           Glaxo and Vir Stock Climb. New Data Show Antibody Drug Works on Omicron.                          ,2021-12-07 08:22:00
69,                                                           Moderna Stock Dropped. The Omicron Picture Is Getting Slightly Less Hazy.                          ,2021-12-06 18:50:00
70,                                                           Pfizer Inc. stock underperforms Monday when compared to competitors                          ,2021-12-06 17:15:00
71,"                                                           A new study finds that most COVID-19 boosters strengthen immunity, though there is no winning shot                          ",2021-12-06 07:08:00
72,                                                           Bitcoin Is Still Falling. The Dip-Buyers Are Staying Away.                          ,2021-12-06 06:42:00
73,"                                                           Omicron Is a Big Unknown. What’s Ahead, According to a Key FDA Official.                          ",2021-12-05 20:58:00
