,Headline,Date,Description
8,Pfizer and other drugmakers start 2020 with price rises,2020-01-03 18:15:00,"<span><mark class=""search-item__highlight"">Pfizer</mark> and other drugmakers start 2020 with price rises</span>"
7,The hedge fund winners and losers of 2019,2020-01-10 05:00:34,"<span> <span class=""o-labels o-labels--premium o-labels--content-premium"">Premium</span><span class=""o-normalise-visually-hidden""> content</span></span>"
6,Hedge fund veteran looks to cash in on biotech boom,2020-01-16 04:00:31,"<span>...as Array BioPharma, which was bought for $11.4bn last year by <mark class=""search-item__highlight"">Pfizer</mark>, have benefited dramatically from takeover activity, although the sector also features a...</span>"
5,"Movers and shakers, January 20 ",2020-01-20 03:00:39,"<span>...head of strategic platform investment solutions. Ian Read, former chief executive of <mark class=""search-item__highlight"">Pfizer</mark>, the pharmaceutical company, has joined Carlyle as an operating executive in the...</span>"
4,"Markets not live, Wednesday 22nd January 2020",2020-01-22 12:24:42,"<span>...to prove dormant rather than dead, the 2014 Sunday Times scoop of <mark class=""search-item__highlight"">Pfizer</mark>'s on-off-on-off interest in AstraZeneca being a prime example...</span>"
3,Why big pharma sees a remedy in data and AI,2020-01-26 05:00:27,"<span class=""o-teaser__tag-prefix"">News in-depth</span>"
2,"Brexit, Fed and BoE set rates, Apple results",2020-01-26 18:53:27,"<span>...will be on the watch for any new long-term targets.
Alibaba, <mark class=""search-item__highlight"">Pfizer</mark>, McDonald’s, Microsoft, Tesla, General Electric, ExxonMobil Shell, Unilever, BT, Hargreaves Lansdown...</span>"
1,"Week ahead: Coronavirus, Fed, tech earnings and Brexit",2020-01-26 22:00:26,"<span>...update investors next week. 
Amazon, an erstwhile member of the $1tn club, <mark class=""search-item__highlight"">Pfizer</mark>, McDonald's, Tesla, General Electric, Facebook and ExxonMobil are among the other...</span>"
0,Make the punishment fit the white collar crime,2020-01-29 05:00:42,"<span>...There are other reasons to doubt their effectiveness. Multiple pharmaceutical groups including <mark class=""search-item__highlight"">Pfizer</mark> and AstraZeneca are repeat offenders, and Purdue Pharma continued to market opioid...</span>"
19,Merck plans to spin off assets in effort to streamline its business,2020-02-05 15:38:00,"<span>...to focus on higher-growth — and usually higher-priced — drugs. GSK and <mark class=""search-item__highlight"">Pfizer</mark> are uniting and spinning off their consumer health divisions, which sell over...</span>"
18,GSK warns profits to fall as it steps up R&D spending,2020-02-05 18:06:41,"<span>...GSK formed a £9.8bn consumer health joint venture with US rival <mark class=""search-item__highlight"">Pfizer</mark>.
The comments came as GSK posted annual results on Wednesday that showed...</span>"
17,Merck: spin doctor ,2020-02-05 18:55:48,"<span class=""o-teaser__tag-prefix"">Lex</span>"
16,Biogen shares soar after patent victory,2020-02-05 20:40:52,"<span>...York, shares in Mylan, which is in the process of merging with <mark class=""search-item__highlight"">Pfizer</mark>’s generics business Upjohn, were up 2.6 per cent to $22...</span>"
15,Direxion launches high-risk sustainable investment ETF  ,2020-02-06 05:00:18,"<span>...been ranked by MSCI as top ESG firms. Intel, Monster Beverage, Netflix, <mark class=""search-item__highlight"">Pfizer</mark> and Oracle were bottom ESG performers.Other fund managers are also working...</span>"
